ASIN,Book Title,Amazon Link,Episode Count,Episode Numbers
"B06XYP8GQ8","Battles Half Won: India's Improbable Democracy","https://www.amazon.in/Battles-Half-Won-Improbable-Democracy-ebook/dp/B06XYP8GQ8/ref%3Dsr_1_1?keywords%3Dashutosh%2Bvarshney%26qid%3D1638152315%26qsid%3D257-5633345-1362951%26sr%3D8-1%26sres%3D0143423517%252C0521646251%252C0195661168%252C0199480338%252C0300100132%252C0761932879%252C0670090980%252C9386347032%252C9350295857%252C8172234988%252C8129141841%252C9381626340%252C8174824243%252C9386606429%252C1849838399%252CB00IOPW6QO",2,"253;253"
"B08WRHBXGN","The Lincoln Highway: A New York Times Number One Bestseller","https://www.amazon.in/Lincoln-Highway-Amor-Towles-ebook/dp/B08WRHBXGN/ref%3Dsr_1_1?keywords%3Dlincoln%2Bhighway%26qid%3D1638154063%26qsid%3D257-5633345-1362951%26s%3Ddigital-text%26sr%3D1-1%26sres%3DB08WRHBXGN%252CB01HKB40PC%252CB07NDNXY69%252CB00SSLV48K%252CB009ACMSE0%252CB084DFFB6Z%252CB004BDOH06%252CB09JZVTWL1%252CB00CPR5LJG%252CB09L75GNKZ%252CB018PKM9G4%252CB01BQZ47N8%252CB00ZQ1OF72%252CB0056A4Z3W%252CB091J7MJ2C%252CB01AYBWPUM",2,"253;253"
"B015Q7V9C4","Page Not Found","https://www.amazon.in/Paper-Menagerie-Ken-Liu-ebook/dp/B015Q7V9C4/ref%3Dsr_1_2?keywords%3Dpaper%2Bmenagerie%26qid%3D1638153854%26qsid%3D257-5633345-1362951%26s%3Ddigital-text%26sr%3D1-2%26sres%3DB00TBKYK60%252CB015Q7V9C4%252CB004ASOR98%252CB09FLSV8KV%252CB09MKBGC89%252CB09MK8T8X4%252CB09CM8CZTW%252CB09L4W5VH2%252CB09JLM1L6M%252CB09J4JG7YC%252CB09B1MK8VQ%252CB01DMH1F38%252CB00XLCTAR8%252CB07TLBVDB7%252CB07D7Y8K5J%252CB003JH86L6",4,"253;253;257;257"
"B01AYBWPUM","A Gentleman in Moscow","https://www.amazon.in/Gentleman-Moscow-Amor-Towles-ebook/dp/B01AYBWPUM/ref=sr_1_1?keywords=gentleman+in+moscow",4,"253;253;256;256"
"B00O26S0ZK","Dubliners","https://www.amazon.in/Dubliners-Wordsworth-Classics-James-Joyce-ebook/dp/B00O26S0ZK/ref=sr_1_9?keywords=james+joyce",2,"253;253"
"B08FFJS3YW","Project Hail Mary","https://www.amazon.in/Project-Hail-Mary-bestselling-Martian-ebook/dp/B08FFJS3YW/ref=sr_1_1?keywords=hail+mary",2,"253;253"
"0198787332","The Oxford Handbook of the Indian Constitution","https://www.amazon.in/Oxford-Handbook-Indian-Constitution/dp/0198787332/ref=sr_1_1?keywords=constitution+handbook",2,"253;253"
"B00S8FCJCQ","The Three-Body Problem","https://www.amazon.in/Three-Body-Problem-Cixin-Liu-ebook/dp/B00S8FCJCQ/ref=sr_1_1?crid=27MFEJBZXRQFL",2,"253;253"
"B087ZC68VN","Think Again: The Power of Knowing What You Don&#8217;t Know","https://www.amazon.in/Think-Again-Power-Knowing-What-ebook/dp/B087ZC68VN/ref=sr_1_1?keywords=think+again",8,"253;253;257;257;261;261;264;264"
"B01ARQ4VP6","Ulysses","https://www.amazon.in/ULYSSES-Modern-Classics-James-Joyce-ebook/dp/B01ARQ4VP6/ref=sr_1_3?keywords=james+joyce",2,"253;253"
