Episode Number,Episode Title,Episode Date,ASIN,Book Title,Amazon Link,Episode URL
56,"Easy Money",2018-02-19,"8132113438","2","https://www.amazon.in/Easy-Money-Evolution-Global-Financial/dp/8132113438/ref=pd_cp_14_2?_encoding=UTF8","https://seenunseen.in/episodes/2018/2/19/episode-56-easy-money/"
56,"Easy Money",2018-02-19,"8132113446","3","https://www.amazon.in/Easy-Money-Greatest-Destroy-Financial/dp/8132113446/ref=sr_1_1?ie=UTF8","https://seenunseen.in/episodes/2018/2/19/episode-56-easy-money/"
71,"Data And The Government",2018-06-04,"B07BFMJW18","The Easy Money Trilogy","https://www.amazon.in/Easy-Money-Evolution-Robinson-Crusoe-ebook/dp/B07BFMJW18/ref=sr_1_1_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2018/6/4/episode-71-data-and-the-government/"
80,"India In The Nuclear Age",2018-08-06,"8183285244","The Strategy Trap: India and Pakistan Under the Nuclear Shadow","https://www.amazon.in/Strategy-Trap-Pakistan-Nuclear-Shadow/dp/8183285244/ref=sr_1_1?s=books","https://seenunseen.in/episodes/2018/8/6/episode-80-india-in-the-nuclear-age/"
82,"Swachh Bharat",2018-08-20,"B072WKXMML","Where India Goes","https://www.amazon.in/Where-India-Goes-Abandoned-Development-ebook/dp/B072WKXMML/ref=sr_1_1_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2018/8/20/episode-82-swachh-bharat/"
83,"Young India",2018-08-27,"B079527NJC","Dreamers: How Indians are Changing the World","https://www.amazon.in/Dreamers-Young-Indians-Changing-Their-ebook/dp/B079527NJC/ref=sr_1_1_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2018/8/27/episode-83-young-india/"
192,"The Loneliness Of The Long Distance Trucker",2020-09-27,"B079527NJC","Dreamers: How Indians are Changing the World","https://www.amazon.in/Dreamers-Young-Indians-Changing-Their-ebook/dp/B079527NJC/ref=sr_1_1_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2020/9/27/episode-192-the-loneliness-of-the-long-distance-trucker/"
192,"The Loneliness Of The Long Distance Trucker",2020-09-27,"B079527NJC","Dreamers: How Indians are Changing the World","https://www.amazon.in/Dreamers-Young-Indians-Changing-Their-ebook/dp/B079527NJC/ref=sr_1_1_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2020/9/27/episode-192-the-loneliness-of-the-long-distance-trucker/"
235,"Kavitha Rao And Our Lady Doctors",2021-07-26,"B079527NJC","Dreamers: How Indians are Changing the World","https://www.amazon.in/Dreamers-Young-Indians-Changing-Their-ebook/dp/B079527NJC/ref=sr_1_1_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2021/7/26/episode-235-kavitha-rao-and-our-lady-doctors/"
235,"Kavitha Rao And Our Lady Doctors",2021-07-26,"B079527NJC","Dreamers: How Indians are Changing the World","https://www.amazon.in/Dreamers-Young-Indians-Changing-Their-ebook/dp/B079527NJC/ref=sr_1_1_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2021/7/26/episode-235-kavitha-rao-and-our-lady-doctors/"
247,"The Business Of Winning Elections",2021-10-18,"B079527NJC","Dreamers: How Indians are Changing the World","https://www.amazon.in/Dreamers-Young-Indians-Changing-Their-ebook/dp/B079527NJC/ref=sr_1_1_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2021/10/18/episode-247-the-business-of-winning-elections/"
247,"The Business Of Winning Elections",2021-10-18,"B079527NJC","Dreamers: How Indians are Changing the World","https://www.amazon.in/Dreamers-Young-Indians-Changing-Their-ebook/dp/B079527NJC/ref=sr_1_1_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2021/10/18/episode-247-the-business-of-winning-elections/"
255,"Sara Rai Inhales Literature",2021-12-13,"B079527NJC","Dreamers: How Indians are Changing the World","https://www.amazon.in/Dreamers-Young-Indians-Changing-Their-ebook/dp/B079527NJC/ref=sr_1_1_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2021/12/13/episode-255-sara-rai-inhales-literature/"
255,"Sara Rai Inhales Literature",2021-12-13,"B079527NJC","Dreamers: How Indians are Changing the World","https://www.amazon.in/Dreamers-Young-Indians-Changing-Their-ebook/dp/B079527NJC/ref=sr_1_1_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2021/12/13/episode-255-sara-rai-inhales-literature/"
291,"The Refreshing Audacity Of Vinay Singhal",2022-08-22,"B079527NJC","Dreamers: How Indians are Changing the World","https://www.amazon.in/Dreamers-Young-Indians-Changing-Their-ebook/dp/B079527NJC/ref=sr_1_1_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2022/8/22/episode-291-the-refreshing-audacity-of-vinay-singhal/"
291,"The Refreshing Audacity Of Vinay Singhal",2022-08-22,"B079527NJC","Dreamers: How Indians are Changing the World","https://www.amazon.in/Dreamers-Young-Indians-Changing-Their-ebook/dp/B079527NJC/ref=sr_1_1_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2022/8/22/episode-291-the-refreshing-audacity-of-vinay-singhal/"
303,"The Loneliness Of The Indian Man",2022-11-14,"B079527NJC","Dreamers: How Indians are Changing the World","https://www.amazon.in/Dreamers-Young-Indians-Changing-Their-ebook/dp/B079527NJC/ref=sr_1_1_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2022/11/14/episode-303-the-loneliness-of-the-indian-man/"
303,"The Loneliness Of The Indian Man",2022-11-14,"B079527NJC","Dreamers: How Indians are Changing the World","https://www.amazon.in/Dreamers-Young-Indians-Changing-Their-ebook/dp/B079527NJC/ref=sr_1_1_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2022/11/14/episode-303-the-loneliness-of-the-indian-man/"
314,"The Life And Times Of Jerry Pinto",2023-01-30,"B079527NJC","Dreamers: How Indians are Changing the World","https://www.amazon.in/Dreamers-Young-Indians-Changing-Their-ebook/dp/B079527NJC/ref=sr_1_1_twi_kin_2?ie=UTF8","https://seenunseen.in/episodes/2023/1/30/episode-314-the-life-and-times-of-jerry-pinto/"
